,freeze,Tracesample,buffer#,finefreeze,wc,Seconds,SecondsofDayNoPPS,TimeStampsNoPPS
3847,342151399,27,0,87590758272,87590758023,9.617500018066494e-05,73826.22187940001,0 days 20:30:26.221879
3848,342151399,27,0,87590758272,87590758024,9.619999991627992e-05,73826.22187942501,0 days 20:30:26.221879
3849,342151399,27,0,87590758272,87590758025,9.622500010664226e-05,73826.22187945001,0 days 20:30:26.221879
3850,342151399,27,0,87590758272,87590758026,9.625000029700459e-05,73826.22187947501,0 days 20:30:26.221879
3851,342151399,27,0,87590758272,87590758027,9.627500003261957e-05,73826.22187950001,0 days 20:30:26.221880
3852,342151399,27,0,87590758272,87590758028,9.630000022298191e-05,73826.22187952501,0 days 20:30:26.221880
3853,342151399,27,0,87590758272,87590758029,9.632499995859689e-05,73826.22187955001,0 days 20:30:26.221880
3854,342151399,27,0,87590758272,87590758030,9.635000014895923e-05,73826.22187957501,0 days 20:30:26.221880
3855,342151399,27,0,87590758272,87590758031,9.637500033932156e-05,73826.22187960001,0 days 20:30:26.221880
3856,342151399,27,0,87590758272,87590758032,9.640000007493654e-05,73826.22187962501,0 days 20:30:26.221880
3857,342151399,27,0,87590758272,87590758033,9.642500026529888e-05,73826.22187965001,0 days 20:30:26.221880
3858,342151399,27,0,87590758272,87590758034,9.645000000091386e-05,73826.22187967501,0 days 20:30:26.221880
3859,342151399,27,0,87590758272,87590758035,9.64750001912762e-05,73826.22187970001,0 days 20:30:26.221880
3860,342151399,27,0,87590758272,87590758036,9.649999992689118e-05,73826.22187972501,0 days 20:30:26.221880
3861,342151399,27,0,87590758272,87590758037,9.652500011725351e-05,73826.22187975001,0 days 20:30:26.221880
3862,342151399,27,0,87590758272,87590758038,9.655000030761585e-05,73826.22187977501,0 days 20:30:26.221880
3863,342151399,27,0,87590758272,87590758039,9.657500004323083e-05,73826.22187980001,0 days 20:30:26.221880
3864,342151399,27,0,87590758272,87590758040,9.660000023359316e-05,73826.22187982501,0 days 20:30:26.221880
3865,342151399,27,0,87590758272,87590758041,9.662499996920815e-05,73826.22187985,0 days 20:30:26.221880
3866,342151399,27,0,87590758272,87590758042,9.665000015957048e-05,73826.221879875,0 days 20:30:26.221880
3867,342151399,27,0,87590758272,87590758043,9.667499989518546e-05,73826.2218799,0 days 20:30:26.221880
3868,342151399,27,0,87590758272,87590758044,9.67000000855478e-05,73826.221879925,0 days 20:30:26.221880
3869,342151399,27,0,87590758272,87590758045,9.672500027591013e-05,73826.22187995,0 days 20:30:26.221880
3870,342151399,27,0,87590758272,87590758046,9.675000001152512e-05,73826.221879975,0 days 20:30:26.221880
3871,342151399,27,0,87590758272,87590758047,9.677500020188745e-05,73826.22188,0 days 20:30:26.221880
3872,342151399,27,0,87590758272,87590758048,9.679999993750243e-05,73826.221880025,0 days 20:30:26.221880
3873,342151399,27,0,87590758272,87590758049,9.682500012786477e-05,73826.22188005,0 days 20:30:26.221880
3874,342151399,27,0,87590758272,87590758050,9.68500003182271e-05,73826.221880075,0 days 20:30:26.221880
3875,342151399,27,0,87590758272,87590758051,9.687500005384209e-05,73826.2218801,0 days 20:30:26.221880
3876,342151399,27,0,87590758272,87590758052,9.690000024420442e-05,73826.221880125,0 days 20:30:26.221880
3877,342151399,27,0,87590758272,87590758053,9.69249999798194e-05,73826.22188015,0 days 20:30:26.221880
3878,342151399,27,0,87590758272,87590758054,9.695000017018174e-05,73826.221880175,0 days 20:30:26.221880
3879,342151399,27,0,87590758272,87590758055,9.697499990579672e-05,73826.2218802,0 days 20:30:26.221880
3880,342151399,27,0,87590758272,87590758056,9.700000009615906e-05,73826.221880225,0 days 20:30:26.221880
3881,342151399,27,0,87590758272,87590758057,9.702500028652139e-05,73826.22188025,0 days 20:30:26.221880
3882,342151399,27,0,87590758272,87590758058,9.705000002213637e-05,73826.221880275,0 days 20:30:26.221880
3883,342151399,27,0,87590758272,87590758059,9.707500021249871e-05,73826.2218803,0 days 20:30:26.221880
3884,342151399,27,0,87590758272,87590758060,9.709999994811369e-05,73826.221880325,0 days 20:30:26.221880
3885,342151399,27,0,87590758272,87590758061,9.712500013847603e-05,73826.22188035,0 days 20:30:26.221880
3886,342151399,27,0,87590758272,87590758062,9.715000032883836e-05,73826.221880375,0 days 20:30:26.221880
3887,342151399,27,0,87590758272,87590758063,9.717500006445334e-05,73826.2218804,0 days 20:30:26.221880
3888,342151399,27,0,87590758272,87590758064,9.720000025481568e-05,73826.221880425,0 days 20:30:26.221880
3889,342151399,27,0,87590758272,87590758065,9.722499999043066e-05,73826.22188045,0 days 20:30:26.221880
3890,342151399,27,0,87590758272,87590758066,9.7250000180793e-05,73826.221880475,0 days 20:30:26.221880
3891,342151399,27,0,87590758272,87590758067,9.727499991640798e-05,73826.2218805,0 days 20:30:26.221881
3892,342151399,27,0,87590758272,87590758068,9.730000010677031e-05,73826.221880525,0 days 20:30:26.221881
3893,342151399,27,0,87590758272,87590758069,9.732500029713265e-05,73826.22188055,0 days 20:30:26.221881
3894,342151399,27,0,87590758272,87590758070,9.735000003274763e-05,73826.221880575,0 days 20:30:26.221881
3895,342151399,27,0,87590758272,87590758071,9.737500022310996e-05,73826.2218806,0 days 20:30:26.221881
3896,342151399,27,0,87590758272,87590758072,9.739999995872495e-05,73826.221880625,0 days 20:30:26.221881
3897,342151399,27,0,87590758272,87590758073,9.742500014908728e-05,73826.22188065,0 days 20:30:26.221881
3898,342151399,27,0,87590758272,87590758074,9.745000033944962e-05,73826.221880675,0 days 20:30:26.221881
3899,342151399,27,0,87590758272,87590758075,9.74750000750646e-05,73826.2218807,0 days 20:30:26.221881
3900,342151399,27,0,87590758272,87590758076,9.750000026542693e-05,73826.221880725,0 days 20:30:26.221881
3901,342151399,27,0,87590758272,87590758077,9.752500000104192e-05,73826.22188075,0 days 20:30:26.221881
3902,342151399,27,0,87590758272,87590758078,9.755000019140425e-05,73826.221880775,0 days 20:30:26.221881
3903,342151399,27,0,87590758272,87590758079,9.757499992701923e-05,73826.2218808,0 days 20:30:26.221881
3904,342151399,27,0,87590758272,87590758080,9.760000011738157e-05,73826.221880825,0 days 20:30:26.221881
3905,342151399,27,0,87590758272,87590758081,9.76250003077439e-05,73826.22188085,0 days 20:30:26.221881
3906,342151399,27,0,87590758272,87590758082,9.765000004335889e-05,73826.221880875,0 days 20:30:26.221881
3907,342151399,27,0,87590758272,87590758083,9.767500023372122e-05,73826.2218809,0 days 20:30:26.221881
3908,342151399,27,0,87590758272,87590758084,9.76999999693362e-05,73826.221880925,0 days 20:30:26.221881
3909,342151399,27,0,87590758272,87590758085,9.772500015969854e-05,73826.22188095,0 days 20:30:26.221881
3910,342151399,27,0,87590758272,87590758086,9.774999989531352e-05,73826.221880975,0 days 20:30:26.221881
3911,342151399,27,0,87590758272,87590758087,9.777500008567586e-05,73826.221881,0 days 20:30:26.221881
3912,342151399,27,0,87590758272,87590758088,9.780000027603819e-05,73826.221881025,0 days 20:30:26.221881
3913,342151399,27,0,87590758272,87590758089,9.782500001165317e-05,73826.22188105,0 days 20:30:26.221881
3914,342151399,27,0,87590758272,87590758090,9.785000020201551e-05,73826.221881075,0 days 20:30:26.221881
3915,342151399,27,0,87590758272,87590758091,9.787499993763049e-05,73826.2218811,0 days 20:30:26.221881
3916,342151399,27,0,87590758272,87590758092,9.790000012799283e-05,73826.221881125,0 days 20:30:26.221881
3917,342151399,27,0,87590758272,87590758093,9.792500031835516e-05,73826.22188115,0 days 20:30:26.221881
3918,342151399,27,0,87590758272,87590758094,9.795000005397014e-05,73826.221881175,0 days 20:30:26.221881
3919,342151399,27,0,87590758272,87590758095,9.797500024433248e-05,73826.2218812,0 days 20:30:26.221881
3920,342151399,27,0,87590758272,87590758096,9.799999997994746e-05,73826.221881225,0 days 20:30:26.221881
3921,342151399,27,0,87590758272,87590758097,9.80250001703098e-05,73826.22188125,0 days 20:30:26.221881
3922,342151399,27,0,87590758272,87590758098,9.804999990592478e-05,73826.221881275,0 days 20:30:26.221881
3923,342151399,27,0,87590758272,87590758099,9.807500009628711e-05,73826.2218813,0 days 20:30:26.221881
3924,342151399,27,0,87590758272,87590758100,9.810000028664945e-05,73826.22188132501,0 days 20:30:26.221881
3925,342151399,27,0,87590758272,87590758101,9.812500002226443e-05,73826.22188135001,0 days 20:30:26.221881
3926,342151399,27,0,87590758272,87590758102,9.815000021262676e-05,73826.22188137501,0 days 20:30:26.221881
3927,342151399,27,0,87590758272,87590758103,9.817499994824175e-05,73826.22188140001,0 days 20:30:26.221881
3928,342151399,27,0,87590758272,87590758104,9.820000013860408e-05,73826.22188142501,0 days 20:30:26.221881
3929,342151399,27,0,87590758272,87590758105,9.822500032896642e-05,73826.22188145001,0 days 20:30:26.221881
3930,342151399,27,0,87590758272,87590758106,9.82500000645814e-05,73826.22188147501,0 days 20:30:26.221881
3931,342151399,27,0,87590758272,87590758107,9.827500025494373e-05,73826.22188150001,0 days 20:30:26.221882
3932,342151399,27,0,87590758272,87590758108,9.829999999055872e-05,73826.22188152501,0 days 20:30:26.221882
3933,342151399,27,0,87590758272,87590758109,9.832500018092105e-05,73826.22188155001,0 days 20:30:26.221882
3934,342151399,27,0,87590758272,87590758110,9.834999991653604e-05,73826.22188157501,0 days 20:30:26.221882
3935,342151399,27,0,87590758272,87590758111,9.837500010689837e-05,73826.22188160001,0 days 20:30:26.221882
3936,342151399,27,0,87590758272,87590758112,9.84000002972607e-05,73826.22188162501,0 days 20:30:26.221882
3937,342151399,27,0,87590758272,87590758113,9.842500003287569e-05,73826.22188165001,0 days 20:30:26.221882
3938,342151399,27,0,87590758272,87590758114,9.845000022323802e-05,73826.22188167501,0 days 20:30:26.221882
3939,342151399,27,0,87590758272,87590758115,9.8474999958853e-05,73826.22188170001,0 days 20:30:26.221882
3940,342151399,27,0,87590758272,87590758116,9.850000014921534e-05,73826.22188172501,0 days 20:30:26.221882
3941,342151399,27,0,87590758272,87590758117,9.852500033957767e-05,73826.22188175001,0 days 20:30:26.221882
3942,342151399,27,0,87590758272,87590758118,9.855000007519266e-05,73826.22188177501,0 days 20:30:26.221882
3943,342151399,27,0,87590758272,87590758119,9.857500026555499e-05,73826.22188180001,0 days 20:30:26.221882
3944,342151399,27,0,87590758272,87590758120,9.860000000116997e-05,73826.221881825,0 days 20:30:26.221882
3945,342151399,27,0,87590758272,87590758121,9.862500019153231e-05,73826.22188185,0 days 20:30:26.221882
3946,342151399,27,0,87590758272,87590758122,9.864999992714729e-05,73826.221881875,0 days 20:30:26.221882
3947,342151399,27,0,87590758272,87590758123,9.867500011750963e-05,73826.2218819,0 days 20:30:26.221882
3948,342151399,27,0,87590758272,87590758124,9.870000030787196e-05,73826.221881925,0 days 20:30:26.221882
3949,342151399,27,0,87590758272,87590758125,9.872500004348694e-05,73826.22188195,0 days 20:30:26.221882
3950,342151399,27,0,87590758272,87590758126,9.875000023384928e-05,73826.221881975,0 days 20:30:26.221882
3951,342151399,27,0,87590758272,87590758127,9.877499996946426e-05,73826.221882,0 days 20:30:26.221882
3952,342151399,27,0,87590758272,87590758128,9.88000001598266e-05,73826.221882025,0 days 20:30:26.221882
3953,342151399,27,0,87590758272,87590758129,9.882499989544158e-05,73826.22188205,0 days 20:30:26.221882
3954,342151399,27,0,87590758272,87590758130,9.885000008580391e-05,73826.221882075,0 days 20:30:26.221882
3955,342151399,27,0,87590758272,87590758131,9.887500027616625e-05,73826.2218821,0 days 20:30:26.221882
3956,342151399,27,0,87590758272,87590758132,9.890000001178123e-05,73826.221882125,0 days 20:30:26.221882
3957,342151399,27,0,87590758272,87590758133,9.892500020214356e-05,73826.22188215,0 days 20:30:26.221882
3958,342151399,27,0,87590758272,87590758134,9.894999993775855e-05,73826.221882175,0 days 20:30:26.221882
3959,342151399,27,0,87590758272,87590758135,9.897500012812088e-05,73826.2218822,0 days 20:30:26.221882
3960,342151399,27,0,87590758272,87590758136,9.900000031848322e-05,73826.221882225,0 days 20:30:26.221882
