KeV,Counts
1698,2491
1700,2474
1702,2428
1704,2451
1706,2419
1708,2382
1710,2469
1712,2499
1714,2511
1716,2545
1718,2434
1720,2584
1722,2537
1724,2430
1726,2447
1728,2506
1730,2695
1732,2508
1734,2559
1736,2585
1738,2628
1740,2548
1742,2472
1744,2631
1746,2577
1748,2730
1750,2587
1752,2663
1754,2761
1756,2692
1758,2762
1760,2820
1762,2668
1764,2883
1766,2864
1768,2796
1770,2914
1772,2869
1774,2807
1776,2979
1778,3008
1780,2913
1782,2951
1784,3151
1786,3049
1788,3177
1790,3072
1792,3203
1794,3221
1796,3234
1798,3217
1800,3210
1802,3321
1804,3417
1806,3362
1808,3386
1810,3571
1812,3450
1814,3584
1816,3523
1818,3742
1820,3536
1822,3773
1824,3702
1826,3910
1828,3766
1830,3934
1832,3897
1834,3881
1836,3975
1838,4035
1840,4067
1842,4100
1844,4131
1846,4115
1848,4151
1850,4086
1852,4162
1854,4263
1856,4316
1858,4281
1860,4214
1862,4167
1864,4230
1866,4418
1868,4400
1870,4238
1872,4243
1874,4160
1876,4207
1878,4075
1880,4192
1882,4082
1884,4107
1886,4123
1888,3886
1890,3960
1892,3805
1894,3646
1896,3636
1898,3605
1900,3563
1902,3503
1904,3330
1906,3299
1908,3159
1910,3138
1912,2940
1914,2940
1916,2818
1918,2796
1920,2544
1922,2494
1924,2471
1926,2424
1928,2243
1930,2156
1932,2030
1934,1951
1936,1820
1938,1808
1940,1603
1942,1544
1944,1459
1946,1454
1948,1323
1950,1319
1952,1280
1954,1143
1956,1090
1958,1067
1960,896
1962,865
1964,804
1966,804
1968,748
1970,721
1972,677
1974,654
1976,581
1978,595
1980,533
1982,463
1984,435
1986,419
1988,424
1990,415
1992,417
1994,376
1996,353
1998,359
2000,377
2002,349
2004,311
2006,347
2008,309
2010,315
2012,293
2014,275
2016,301
2018,274
2020,279
2022,307
2024,261
2026,280
2028,319
2030,305
2032,280
2034,246
2036,316
2038,310
2040,318
2042,283
2044,279
2046,283
2048,289
2050,286
2052,276
2054,292
2056,313
2058,262
2060,288
2062,275
2064,269
2066,297
2068,247
2070,242
2072,264
2074,267
2076,233
2078,226
2080,235
2082,254
2084,242
2086,224
2088,231
2090,195
2092,195
2094,217
2096,187
2098,205
2100,181
2102,214
2104,185
2106,166
2108,142
2110,177
2112,158
2114,160
2116,144
2118,134
2120,126
2122,125
2124,121
2126,109
2128,131
2130,122
2132,112
2134,112
2136,104
2138,113
2140,92
2142,98
2144,94
2146,93
2148,109
2150,92
2152,91
2154,70
2156,77
2158,80
2160,73
2162,72
2164,82
2166,63
2168,78
2170,71
2172,70
2174,65
2176,58
2178,53
2180,73
2182,58
2184,52
2186,53
2188,48
2190,77
2192,65
2194,64
2196,66
2198,54
2200,60
2202,55
2204,53
2206,81
2208,70
2210,60
2212,56
2214,58
2216,54
2218,58
2220,54
2222,61
2224,57
2226,50
2228,49
2230,48
2232,51
2234,47
2236,55
2238,51
2240,61
2242,50
2244,48
2246,43
2248,52
2250,51
2252,37
2254,49
2256,55
2258,52
2260,40
2262,49
2264,46
2266,52
2268,42
2270,47
2272,56
2274,50
2276,50
2278,49
2280,54
2282,39
2284,44
2286,36
2288,43
2290,40
2292,40
2294,42
2296,35
2298,44
2300,46
2302,32
2304,44
2306,39
2308,48
2310,38
2312,47
2314,46
2316,35
2318,50
2320,45
2322,37
2324,37
2326,56
2328,45
2330,45
2332,47
2334,39
2336,58
2338,37
2340,44
2342,43
2344,50
2346,39
2348,49
2350,44
2352,58
2354,50
2356,38
2358,47
2360,43
2362,50
2364,45
2366,38
2368,38
2370,34
2372,38
2374,43
2376,45
2378,49
2380,42
2382,61
2384,55
2386,41
2388,41
2390,59
2392,43
2394,49
2396,48
2398,39
2400,35
2402,39
2404,47
2406,52
2408,63
2410,56
2412,45
2414,62
2416,46
2418,42
2420,55
2422,60
2424,55
2426,50
2428,40
2430,54
2432,39
2434,61
2436,45
2438,50
2440,56
2442,49
2444,53
2446,62
2448,56
2450,49
2452,64
2454,54
2456,64
2458,62
2460,64
2462,58
2464,51
2466,46
2468,53
2470,56
2472,44
2474,51
2476,66
2478,51
2480,68
2482,48
2484,46
2486,54
2488,42
2490,39
2492,48
2494,56
2496,40
2498,45
2500,45
2502,48
2504,47
2506,44
2508,37
2510,39
2512,37
